2010-10-16 11:30:24+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:30:24+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:30:24+0200 [eztv] INFO: Spider opened
2010-10-16 11:30:25+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/16/ashes-to-ashes/> (referer: None)
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='3', links='http://www.bt-chat.com/download1.php?id=77340', serie='Ashes to Ashes', epi='01', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='3', links='http://www.bt-chat.com/download1.php?id=77340', serie='Ashes to Ashes', epi='01', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x08.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='08', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x08.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='08', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=03401f7f0ba0d99ab3558a7069bd973e2c5d67ae', serie='Ashes to Ashes', epi='08', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download.php?info_hash=03401f7f0ba0d99ab3558a7069bd973e2c5d67ae', serie='Ashes to Ashes', epi='08', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download1.php?id=59861', serie='Ashes to Ashes', epi='08', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://www.bt-chat.com/download1.php?id=59861', serie='Ashes to Ashes', epi='08', type='Torrent')
2010-10-16 11:30:25+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x07.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='07', type='Torrent') in <http://eztv.it/shows/16/ashes-to-ashes/>
2010-10-16 11:30:25+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='2', links='http://torrent.zoink.it/Ashes.to.Ashes.2x07.(PDTV-RiVER)[VTV].torrent', serie='Ashes to Ashes', epi='07', type='Torrent')
