2010-10-16 11:32:40+0200 [scrapy] INFO: Scrapy 0.10.2 started (bot: liberbot)
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled extensions: FeedExporter, TelnetConsole, SpiderContext, WebService, CoreStats, MemoryUsage, CloseSpider
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled scheduler middlewares: DuplicatesFilterMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled downloader middlewares: HttpAuthMiddleware, DownloadTimeoutMiddleware, UserAgentMiddleware, RetryMiddleware, DefaultHeadersMiddleware, RedirectMiddleware, CookiesMiddleware, HttpCompressionMiddleware, DownloaderStats, HttpCacheMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled spider middlewares: HttpErrorMiddleware, OffsiteMiddleware, RefererMiddleware, UrlLengthMiddleware, DepthMiddleware
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Enabled item pipelines: 
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Telnet console listening on port 6023
2010-10-16 11:32:40+0200 [scrapy] DEBUG: Web service listening on port 6080
2010-10-16 11:32:40+0200 [eztv] INFO: Spider opened
2010-10-16 11:32:40+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/139/jurassic-fight-club/> (referer: None)
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E08.Raptors.Last.Stand.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='08', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E08.Raptors.Last.Stand.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='08', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=753894c0eb6a5c03cdba5734e85f9fe98caac28f', serie='Jurassic Fight Club', epi='08', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=753894c0eb6a5c03cdba5734e85f9fe98caac28f', serie='Jurassic Fight Club', epi='08', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1816336', serie='Jurassic Fight Club', epi='08', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1816336', serie='Jurassic Fight Club', epi='08', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E07.Biggest.Killers.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='07', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E07.Biggest.Killers.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='07', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=5205ebede5eb85bdd24f58b3c1bb7370ff4e6e1a', serie='Jurassic Fight Club', epi='07', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=5205ebede5eb85bdd24f58b3c1bb7370ff4e6e1a', serie='Jurassic Fight Club', epi='07', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1797588', serie='Jurassic Fight Club', epi='07', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1797588', serie='Jurassic Fight Club', epi='07', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E06.Hunter.Becomes.Hunted.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='06', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E06.Hunter.Becomes.Hunted.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=83aa05c14f99dd23226d34c8f16452891e3dbf9a', serie='Jurassic Fight Club', epi='06', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=83aa05c14f99dd23226d34c8f16452891e3dbf9a', serie='Jurassic Fight Club', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1768252', serie='Jurassic Fight Club', epi='06', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1768252', serie='Jurassic Fight Club', epi='06', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E05.Deep.Sea.Killers.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='05', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E05.Deep.Sea.Killers.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='05', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=23cd8dd4d563bc1e64f6bf326cb8866f670ac7cc', serie='Jurassic Fight Club', epi='05', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=23cd8dd4d563bc1e64f6bf326cb8866f670ac7cc', serie='Jurassic Fight Club', epi='05', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1743494', serie='Jurassic Fight Club', epi='05', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1743494', serie='Jurassic Fight Club', epi='05', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E04.Bloodiest.Battle.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='04', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E04.Bloodiest.Battle.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='04', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=280346b19b7f2830ebb2b9f9fda0b2424037e793', serie='Jurassic Fight Club', epi='04', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=280346b19b7f2830ebb2b9f9fda0b2424037e793', serie='Jurassic Fight Club', epi='04', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1714296', serie='Jurassic Fight Club', epi='04', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1714296', serie='Jurassic Fight Club', epi='04', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E03.Gang.Killers.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='03', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E03.Gang.Killers.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='03', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=becff01dbfdca4d7b0cc96d32a8c982332d79bf8', serie='Jurassic Fight Club', epi='03', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=becff01dbfdca4d7b0cc96d32a8c982332d79bf8', serie='Jurassic Fight Club', epi='03', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1691089', serie='Jurassic Fight Club', epi='03', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1691089', serie='Jurassic Fight Club', epi='03', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E02.The.T-Rex.Hunter.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='02', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E02.The.T-Rex.Hunter.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='02', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=57d94148f6b2045f567ca2bbace811564b9d4e2a', serie='Jurassic Fight Club', epi='02', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=57d94148f6b2045f567ca2bbace811564b9d4e2a', serie='Jurassic Fight Club', epi='02', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1669753', serie='Jurassic Fight Club', epi='02', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1669753', serie='Jurassic Fight Club', epi='02', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E01.Cannibal.Dinosaur.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='01', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/Jurassic.Fight.Club.S01E01.Cannibal.Dinosaur.HDTV.XviD-FQM.[eztv].torrent', serie='Jurassic Fight Club', epi='01', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=f01b0d9d20ddc06e95dc8af52863f93ad94ebee3', serie='Jurassic Fight Club', epi='01', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=f01b0d9d20ddc06e95dc8af52863f93ad94ebee3', serie='Jurassic Fight Club', epi='01', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1659967', serie='Jurassic Fight Club', epi='01', type='Torrent') in <http://eztv.it/shows/139/jurassic-fight-club/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.mininova.org/tor/1659967', serie='Jurassic Fight Club', epi='01', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Crawled (200) <GET http://eztv.it/shows/339/john-safrans-race-relations/> (referer: None)
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/John.Safrans.Race.Relations.S01E07.HDTV.XviD-BiA.[eztv].torrent', serie='John Safrans Race Relations', epi='07', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrent.zoink.it/John.Safrans.Race.Relations.S01E07.HDTV.XviD-BiA.[eztv].torrent', serie='John Safrans Race Relations', epi='07', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=e5a66009ee3b722949e4d47641ab1cb470560cf6', serie='John Safrans Race Relations', epi='07', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://www.bt-chat.com/download.php?info_hash=e5a66009ee3b722949e4d47641ab1cb470560cf6', serie='John Safrans Race Relations', epi='07', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://torrage.com/torrent/E5A66009EE3B722949E4D47641AB1CB470560CF6.torrent', serie='John Safrans Race Relations', epi='07', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://torrage.com/torrent/E5A66009EE3B722949E4D47641AB1CB470560CF6.torrent', serie='John Safrans Race Relations', epi='07', type='Torrent')
2010-10-16 11:32:41+0200 [eztv] DEBUG: Scraped LiberBotItems(lang='English', temp='01', links='http://public.zoink.it/torrent/E5A66009EE3B722949E4D47641AB1CB470560CF6.torrent', serie='John Safrans Race Relations', epi='07', type='Torrent') in <http://eztv.it/shows/339/john-safrans-race-relations/>
2010-10-16 11:32:41+0200 [eztv] INFO: Passed LiberBotItems(lang='English', temp='01', links='http://public.zoink.it/torrent/E5A66009EE3B722949E4D47641AB1CB470560CF6.torrent', serie='John Safrans Race Relations', epi='07', type='Torrent')
